"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC1";"DIP-28";1;"ATMEGA328P";;;
2;"C3,C2";"C_0805_HandSoldering";2;"22pF";;;
3;"R5,R1";"R_0805_HandSoldering";2;"10K";;;
4;"U2";"AB2_SOT223";1;"NCP1117ST50T3G";;;
5;"C1,C6,C9,C10,C13";"C_0805_HandSoldering";5;"100nF";;;
6;"C4,C5";"c_elec_4x4.5";2;"10uF";;;
7;"C7,C11";"C_0805_HandSoldering";2;"10nF";;;
8;"C8,C12";"C_0805_HandSoldering";2;"33pF";;;
9;"CON2";"AB2_PB_2MM_JACK_PTH";1;"BARREL_JACK";;;
10;"D1";"LED-0805";1;"PWRLED";;;
11;"P1";"TC2050_BIG";1;"TC2050-IDC";;;
12;"R2";"R_0805_HandSoldering";1;"R";;;
13;"R3,R4";"R_0805_HandSoldering";2;"200K";;;
14;"RV1,RV2";"Potentiometer_WirePads";2;"POT";;;
15;"SW2";"SW_Micro_SPST";1;"SPST";;;
16;"P4,P3";"AB2_TB_04_RA_5MM_L-BLK";2;"CONN_01X04";;;
17;"Y1";"Crystal_HC49-U_Vertical";1;"16Mhz";;;
18;"SW3";"AB2_PB_MOM_6MM_PTH_BLK";1;"SW_PUSH";;;
19;"P5";"AB2_HDR_M07-2V";1;"CONN_01X14";;;
20;"U3,U1";"DIP-8";2;"MSGEQ7";;;
21;"J1,J2";"AUDIO_JACK-3.5mm";2;"AUDIO-JACK";;;
22;"Q1,Q5,Q3,Q4,Q2,Q6";"TO-220_NFET_Horizontal";6;"N-MOSFET";;;
23;"SW1";"AB2_PB_MOM_5.2MM_SMD";1;"SW_PUSH";;;
